iso,country,cj_cr,rank_cr,G_RoL,G_RegQ,R_grid,BIT_G7,BIT_score,ICSID,FDI_raw,FDI_score,xi_raw_v26,xi_eff_v26,rank_v26,xi_eff_A,adj_cost_A,rank_A,delta_A,xi_eff_B,adj_cost_B,rank_B,delta_B,xi_eff_C,adj_cost_C,rank_C,delta_C,shift_A,shift_B,shift_C
KOR,South Korea,1.520496825599388,59,0.8584906005859381,0.849056625366211,0.98,7,1.0,1,1.03221435142435,0.33752624401956305,0.9373341016774543,0.9686670508387272,19,0.9337605716857742,1.6283583519213534,25,34,0.9824519635383064,1.5476551343266798,9,50,0.6980228607642502,2.178290871354312,60,-1,-6,10,-41
NLD,Netherlands,1.5205172099951596,60,0.943396224975586,0.9716981506347661,1.0,6,0.8571428571428571,1,-30.2430732965592,4.340242934272097e-10,0.9829743023715227,0.9914871511857614,11,0.9879459010295385,1.5390693037044119,8,52,0.9664331696819446,1.573328873320403,14,46,0.5014091914656322,3.032487708393713,81,-21,3,-3,-70
EST,Estonia,1.5217775636037991,61,0.896226425170898,0.910377349853516,0.95,7,1.0,1,12.9027265859711,0.9992917541196793,0.9329729387900143,0.9664864693950072,21,0.9581068360047693,1.5883171963885496,14,47,0.9867023249661457,1.5422863867843952,8,53,0.9958690510954014,1.5280900254204377,4,57,7,13,17
QAT,Qatar,1.5228925281242949,62,0.801886825561523,0.811320724487305,0.95,4,0.5714285714285714,1,-0.21820397647038,0.18104479392301867,0.8383016391001934,0.9191508195500967,36,0.9153767934845705,1.663678322373774,30,32,0.8834852784739673,1.7237327720443372,59,3,0.6160771348682204,2.4719185990404324,78,-16,6,-23,-42
MKD,North Macedonia,1.5243228460982854,63,0.452830200195312,0.660377349853516,0.8,4,0.5714285714285714,1,4.04601094449743,0.7921736491881609,0.6705634087532556,0.8352817043766279,61,0.8398261897747165,1.8150456185549362,45,18,0.8574316647294153,1.7777776454982273,67,-4,0.8966713512042681,1.6999794228409935,22,41,16,-6,39
LTU,Lithuania,1.5250545525672183,64,0.867924499511719,0.882075500488281,0.92,7,1.0,1,4.80150438624708,0.8632496160197748,0.8858872382062196,0.9429436191031098,32,0.9438314510818324,1.615812389827845,21,43,0.9813839061949711,1.5539836581182294,11,53,0.9357667737736781,1.6297378741255284,15,49,11,21,17
DNK,Denmark,1.5271269806963537,65,0.995283050537109,0.981132049560547,1.0,6,0.8571428571428571,1,2.21212901346256,0.5283525120568346,1.0,1.0,8,0.9919696906619611,1.5394895580703394,9,56,0.9674476949090749,1.578511157484209,16,49,0.7907068159829449,1.9313441465632857,41,24,-1,-8,-33
GHA,Ghana,1.5275710785844059,66,0.495283012390137,0.452830200195312,0.6,4,0.5714285714285714,1,1.63794208213468,0.432938400852247,0.6422424990446293,0.8211212495223146,64,0.736177090180474,2.075004912486371,70,-4,0.820668442039695,1.8613742168369118,75,-9,0.7273290223686929,2.100247661793509,58,8,-6,-11,6
ALB,Albania,1.5325556322401972,67,0.457547187805176,0.584905662536621,0.8,5,0.7142857142857143,1,6.90036950940795,0.9624580287434962,0.5817974107523521,0.790898705376176,72,0.8065183325522334,1.9002117749641392,56,11,0.880093304912367,1.7413558581641493,61,6,0.9680670095628168,1.5831090380120545,11,56,16,11,61
SVN,Slovenia,1.5338447397069248,68,0.825471725463867,0.75,0.95,6,0.8571428571428571,1,2.09028809314832,0.5080429247658806,0.9244388615072116,0.9622194307536058,26,0.8885354222756561,1.7262617800633617,37,31,0.9390856055822107,1.6333385695502995,34,34,0.7790254977614981,1.9689275179238328,45,23,-11,-8,-19
ROU,Romania,1.5350903385068335,69,0.6415093994140619,0.6320754623413091,0.85,7,1.0,1,2.50426860654842,0.576544347688118,0.7642138649763099,0.882106932488155,46,0.8303972581060158,1.8486216368393287,49,20,0.9495349725024731,1.616675933969178,28,41,0.8055558860610491,1.9056286038862071,38,31,-3,18,8
GRC,Greece,1.53868730100132,70,0.570754699707031,0.707547149658203,0.9,6,0.8571428571428571,1,1.94366777616511,0.4835736776251217,0.8573190287353687,0.9286595143676843,37,0.866773929879677,1.775188717564355,42,28,0.9309981065213541,1.6527287115014422,41,29,0.7653992160530116,2.01030686827193,49,21,-5,-4,-12
BGR,Bulgaria,1.5447636394574762,71,0.537735862731934,0.655660400390625,0.85,7,1.0,1,5.4578492660207,0.9072752663564038,0.7206861448768664,0.8603430724384332,55,0.8408473757164908,1.8371510503213193,48,23,0.9520149700575304,1.6226253662420096,32,39,0.9492220382148794,1.6273996781222873,14,57,7,23,41
SVK,Slovakia,1.5457075885456197,72,0.688679275512695,0.7122641754150391,0.92,7,1.0,1,0.393861455912485,0.24962977220645252,0.8773230480909562,0.9386615240454781,35,0.8700693476312887,1.7765337817654596,43,29,0.9634258220245258,1.6043867137560186,25,47,0.6517889307957281,2.3714848711201073,75,-3,-8,10,-40
